id,name,brand,category,price_inr,skin_type,skin_tone,concerns,key_ingredients,budget_tier,rating,dupe_of
P001,Foaming Rice Water Cleanser,PureBloom,Cleanser,349,Oily|Combination,All,Oiliness|Dullness,Rice Water|Niacinamide,Budget,4.3,
P002,Ceramide Gentle Cleansing Milk,DermaRoot,Cleanser,899,Dry|Sensitive,All,Dryness|Sensitivity,Ceramides|Oat Extract,Mid,4.5,
P003,Salicylic Acid Clarifying Wash,Skinly,Cleanser,425,Oily|Combination,All,Acne|Oiliness,Salicylic Acid|Tea Tree,Budget,4.2,
P004,Micellar Cleansing Water,Bare Essentials,Cleanser,299,All,All,Sensitivity|Dullness,Micelles|Cucumber Extract,Budget,4.1,
P005,Cream Cleanser with Peptides,Luminate,Cleanser,1450,Dry|Normal,All,Aging|Dryness,Peptides|Shea Butter,Premium,4.6,
P006,Charcoal Deep-Clean Face Wash,Terra Botanica,Cleanser,375,Oily,All,Oiliness|Pores,Activated Charcoal|Clay,Budget,4,
P007,Hyaluronic Hydra Mist Toner,PureBloom,Toner,450,Dry|Normal,All,Dryness|Dullness,Hyaluronic Acid|Aloe Vera,Budget,4.4,
P008,Glycolic Acid Resurfacing Toner,DermaRoot,Toner,1100,Combination|Oily,All,Dullness|Uneven Tone,Glycolic Acid|Witch Hazel,Mid,4.5,
P009,Rosewater Balancing Toner,Roseate,Toner,249,All,All,Sensitivity|Dullness,Rosewater|Glycerin,Budget,4.2,
P010,Centella Calming Toner,Skinly,Toner,599,Sensitive|Combination,All,Sensitivity|Acne,Centella Asiatica|Panthenol,Budget,4.3,
P011,10% Niacinamide + Zinc Serum,Skinly,Serum,549,Oily|Combination,All,Acne|Pores|Oiliness,Niacinamide|Zinc PCA,Budget,4.5,
P012,Vitamin C 15% Brightening Serum,Luminate,Serum,1899,All,All,Dullness|Pigmentation|Uneven Tone,Vitamin C|Ferulic Acid,Premium,4.7,
P013,Vitamin C Glow Booster Serum,PureBloom,Serum,599,All,All,Dullness|Pigmentation,Vitamin C|Turmeric,Budget,4.2,P012
P014,Hyaluronic Acid Multi-Weight Serum,DermaRoot,Serum,1250,Dry|Normal,All,Dryness|Aging,Hyaluronic Acid|Vitamin B5,Mid,4.6,
P015,Retinol 0.3% Night Renewal Serum,Luminate,Serum,2100,Normal|Combination,All,Aging|Uneven Tone,Retinol|Squalane,Premium,4.6,
P016,Bakuchiol Gentle Renewal Serum,Terra Botanica,Serum,799,Sensitive|Normal,All,Aging|Sensitivity,Bakuchiol|Squalane,Mid,4.3,P015
P017,Oil-Free Gel Moisturizer,Skinly,Moisturizer,425,Oily|Combination,All,Oiliness|Acne,Niacinamide|Aloe Vera,Budget,4.3,
P018,Ceramide Barrier Repair Cream,DermaRoot,Moisturizer,1350,Dry|Sensitive,All,Dryness|Sensitivity,Ceramides|Cholesterol,Mid,4.7,
P019,Shea & Squalane Rich Cream,Terra Botanica,Moisturizer,550,Dry,All,Dryness,Shea Butter|Squalane,Budget,4.2,P018
P020,Peptide Firming Day Cream,Luminate,Moisturizer,1999,Normal|Dry,All,Aging,Peptides|Collagen,Premium,4.6,
P021,Lightweight Aqua Gel Cream,PureBloom,Moisturizer,349,Oily|Normal,All,Oiliness|Dullness,Hyaluronic Acid|Cucumber,Budget,4.1,
P022,Centella Recovery Cream,Skinly,Moisturizer,650,Sensitive|Combination,All,Sensitivity|Acne,Centella Asiatica|Madecassoside,Mid,4.4,
P023,Matte Fluid SPF 50 Sunscreen,Skinly,Sunscreen,499,Oily|Combination,All,Oiliness|Pigmentation,Zinc Oxide|Niacinamide,Budget,4.4,
P024,Tinted Mineral Sunscreen SPF 45,Luminate,Sunscreen,1450,All,Medium|Tan,Pigmentation|Uneven Tone,Zinc Oxide|Iron Oxides,Premium,4.6,
P025,Tinted Everyday Sunscreen SPF 40,PureBloom,Sunscreen,525,All,Fair|Medium,Pigmentation,Zinc Oxide|Niacinamide,Budget,4.2,P024
P026,Hydrating Gel Sunscreen SPF 50,DermaRoot,Sunscreen,750,Dry|Normal,All,Dryness|Pigmentation,Hyaluronic Acid|Titanium Dioxide,Mid,4.5,
P027,No White Cast Sunscreen SPF 50,Terra Botanica,Sunscreen,599,All,Deep|Tan,Pigmentation,Zinc Oxide|Vitamin E,Budget,4.5,
P028,Clay Pore-Detox Mask,Terra Botanica,Face Mask,399,Oily|Combination,All,Pores|Oiliness,Kaolin Clay|Charcoal,Budget,4.2,
P029,Overnight Hydration Sleep Mask,Luminate,Face Mask,1250,Dry|Normal,All,Dryness|Dullness,Hyaluronic Acid|Honey,Premium,4.6,
P030,Sheet Mask Brightening Set (5pc),PureBloom,Face Mask,349,All,All,Dullness|Pigmentation,Vitamin C|Niacinamide,Budget,4.1,
P031,Calming Oat Rescue Mask,Skinly,Face Mask,549,Sensitive,All,Sensitivity|Dryness,Oat Extract|Panthenol,Budget,4.3,
P032,AHA/BHA Weekly Resurfacing Peel,DermaRoot,Exfoliator,950,Combination|Oily,All,Dullness|Acne|Uneven Tone,Glycolic Acid|Salicylic Acid,Mid,4.5,
P033,Gentle Walnut Scrub,Terra Botanica,Exfoliator,299,Normal|Oily,All,Dullness|Pores,Walnut Shell Powder|Aloe Vera,Budget,4,
P034,Lactic Acid Smoothing Exfoliant,Skinly,Exfoliator,699,Sensitive|Dry,All,Dullness|Sensitivity,Lactic Acid|Glycerin,Budget,4.3,
P035,Caffeine De-Puff Eye Cream,PureBloom,Under-eye Cream,449,All,All,Dark Circles,Caffeine|Vitamin E,Budget,4.2,
P036,Peptide Eye Contour Cream,Luminate,Under-eye Cream,1650,All,All,Dark Circles|Aging,Peptides|Hyaluronic Acid,Premium,4.6,
P037,Vitamin C Brightening Eye Gel,Skinly,Under-eye Cream,499,All,All,Dark Circles,Vitamin C|Cucumber Extract,Budget,4.3,P036
P038,Matte Fit Foundation,Hueberry,Foundation,899,Oily|Combination,Fair,Oiliness|Uneven Tone,Silica|Niacinamide,Mid,4.3,
P039,Matte Fit Foundation,Hueberry,Foundation,899,Oily|Combination,Medium,Oiliness|Uneven Tone,Silica|Niacinamide,Mid,4.3,
P040,Matte Fit Foundation,Hueberry,Foundation,899,Oily|Combination,Tan,Oiliness|Uneven Tone,Silica|Niacinamide,Mid,4.3,
P041,Matte Fit Foundation,Hueberry,Foundation,899,Oily|Combination,Deep,Oiliness|Uneven Tone,Silica|Niacinamide,Mid,4.4,
P042,Skin-Like Dewy Foundation,Luminate,Foundation,2200,Dry|Normal,Medium,Dryness|Dullness,Hyaluronic Acid|Squalane,Premium,4.6,
P043,Full Coverage Concealer,Hueberry,Concealer,499,All,Fair,Dark Circles|Pigmentation,Vitamin E|Silica,Budget,4.2,
P044,Full Coverage Concealer,Hueberry,Concealer,499,All,Medium,Dark Circles|Pigmentation,Vitamin E|Silica,Budget,4.2,
P045,Full Coverage Concealer,Hueberry,Concealer,499,All,Tan,Dark Circles|Pigmentation,Vitamin E|Silica,Budget,4.1,
P046,Full Coverage Concealer,Hueberry,Concealer,499,All,Deep,Dark Circles|Pigmentation,Vitamin E|Silica,Budget,4.3,
P047,Cream Blush Stick - Coral,NudeNectar,Blush,399,All,Fair|Medium,Dullness,Shea Butter|Vitamin E,Budget,4.4,
P048,Cream Blush Stick - Berry,NudeNectar,Blush,399,All,Tan|Deep,Dullness,Shea Butter|Vitamin E,Budget,4.4,
P049,Silk Powder Blush,Luminate,Blush,1350,All,All,Dullness,Silk Powder|Mica,Premium,4.5,
